fid	offset	width	type	mod	group	order	desc	notes
location	0	4	uint				Start Location	
olives_ones	4	4	uint				Olives (ones place)	
olives_tens	8	4	uint				Olives (tens place)	
skins	12	5	uint				Salamander skins	
hero	17	36	str	bo:6			Hero name	
heroine	53	36	str	bo:6			Heroine name	
life	89	6	uint				Life	
crystal	96	1					Crystal	
flask	97	1					Flask Obtained	
ocarina	98	1					Ocarina	
harp	99	1					Harp	
sw_divine	100	1					Divine Sword	
sw_nymph	101	1					Nymph Sword	
st_fennel	102	1					Staff of Fennel	
club	103	1					Club	
heart2	104	1					Heart (second)	
heart1	105	1					Heart (first)	
key	106	1					Key	
bracelet	107	1					Power Bracelet	
sh_reflect	108	1					Reflective Shield	
sh_fire	109	1					Fire Shield	
sandals	110	1					Sandals	
moonbeam	111	1					Moonbeam	
amb_argolis	112	1					Ambrosia 1 (Argolis)	
amb_phthia	113	1					Ambrosia 2 (Phthia)	
amb_cyclops	114	1					Ambrosia 3 (Cyclops)	
amb_forest	115	1					Ambrosia 4 (Forest)	
amb_phrygia	116	1					Ambrosia 5 (Phrygia) ?	Marked as ? in docs, possibly not tested?
zeus	117	1					Zeus	
apple	118	1					Golden Apple	
heart3	119	1					Heart (third)	
child	120	1					Child Rescued	
lion	121	1					Lion Defeated	
lamia	122	1					Lamia Defeated	
flaskfilled	123	1					Flask Filled	
unk1	124	6					Unknown 1	
siren	130	1					Siren Defeated	
gaea	131	1					Gaea Defeated	
cyclops	132	1					Cyclops Defeated	
hydra	133	1					Hydra Defeated	
fire	134	1					Fire Shield	
unk2	135	3					Unknown 2	
